tax_id	NZ	order	phylum	genus	family	species	class
413503	NC_023024.1	Enterobacterales	Proteobacteria	Cronobacter	Enterobacteriaceae	Cronobacter malonaticus	Gammaproteobacteria
413503	NC_023025.1	Enterobacterales	Proteobacteria	Cronobacter	Enterobacteriaceae	Cronobacter malonaticus	Gammaproteobacteria
1484116	NZ_CP014771.1	Cytophagales	Bacteroidetes	Hymenobacter	Hymenobacteraceae	Hymenobacter sp. PAMC 26554	Cytophagia
1484116	NZ_CP014769.1	Cytophagales	Bacteroidetes	Hymenobacter	Hymenobacteraceae	Hymenobacter sp. PAMC 26554	Cytophagia
1484116	NZ_CP014770.1	Cytophagales	Bacteroidetes	Hymenobacter	Hymenobacteraceae	Hymenobacter sp. PAMC 26554	Cytophagia
479831	NZ_CM000637.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000034.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000035.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000036.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000037.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000038.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000039.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000040.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000041.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000042.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000043.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
479831	NZ_ABHD02000044.1	Clostridiales	Firmicutes	Clostridioides	Peptostreptococcaceae	Clostridioides difficile	Clostridia
